STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,NEW_DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,WESD,WESF,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT09,WT01,WT02,WT06,WT11,WT04,WT08
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,71,41.0639,-73.7722,20160201,2016-02-01,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,149.4,41.0191,-74.2334,20160201,2016-02-01,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00280907,BOONTON 1 SE NJ US,85.3,40.8917,-74.3962,20160201,2016-02-01,0,0,0,NA,57,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,4,40.5554,-74.274,20160201,2016-02-01,0,7,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,25.6,40.9519,-74.1577,20160201,2016-02-01,0,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,73.8,41.0328,-74.245,20160201,2016-02-01,0,4.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,7.9,40.297,-74.0015,20160201,2016-02-01,0,3.5,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0006,RED BANK 1.3 NW NJ US,13.4,40.3622,-74.0833,20160201,2016-02-01,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0045,WOODBRIDGE TWP 1.1 NNE NJ US,21.6,40.5759,-74.2847,20160201,2016-02-01,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20160201,2016-02-01,0,1.2,0,51,59,43,NA,NA,8.5,330,310,18.1,23,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJUN0017,CRANFORD TWP 1.1 NNW NJ US,21.9,40.6722,-74.3096,20160201,2016-02-01,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0050,WOODBRIDGE TWP 3.0 NNW NJ US,21.9,40.6023,-74.3102,20160201,2016-02-01,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,2.1,40.6825,-74.16944,20160201,2016-02-01,0.02,3.9,0,45,58,36,NA,NA,8.1,360,310,18.1,23,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJUN0014,WESTFIELD 0.6 NE NJ US,36.3,40.6588,-74.3358,20160201,2016-02-01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
